# mouseaim recording  v0.50.0  session=20260706-120741
# started 2026-07-06 12:32:04  t=1196.645
# aircraft 'UtilityHelo1'
# config law=EvolvedLegacy sens=3.0 chaseDamp=0.25 pitchG=1.0 yawG=1.0 rollG=1.00 rollDamp=0.10 rollSm=0.06 bankGain=3.0 bankDz=2.5 maxBank=72 fineAng=6 fineBoost=2.5 align=25 coord=0.90 brake=0.35 yawSc=0.35 slew=6.0 iGain=0.80 iLeak=0.50 iCap=0.12 yawAssist=1 yaStr=0.70 yaResp=0.80 coordPull=0.80 coordCap=0.85 bankAuth=5.0 yawFade=1.00 trGain=0.90 pullRel=2.0 alignHold=5.0 heliFwd=150 heliHover=40 heliYawSc=2.00
t,off,azErr,elevErr,phi,bigTurn,bank,targetBank,outP,outR,outY,pitchRate,yawRate,rollRate,yawEff,yawWeak,spd,aoa,g,phase,flyLevel,engP,engR,engY,controlLaw,heliBlend,vFwd,rollRateF,iPitch,iYaw,bankTR,bankBlend
1196.650,1.16,-0.37,1.10,-10.1,0.000,-8.4,0.0,-0.247,0.131,-0.047,-0.121,-0.019,0.022,0.064,0.073,111.2,-6.29,0.50,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.359,110.5,0.031,0.004,-0.011,0.0,0.073
1196.700,1.39,-0.39,1.33,-7.8,0.000,-8.3,0.0,-0.240,0.129,-0.047,-0.056,-0.003,0.068,0.064,0.072,111.3,-6.52,0.56,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.359,110.5,0.036,0.003,-0.010,0.0,0.072
1196.750,1.43,-0.37,1.38,-6.7,0.000,-8.3,0.0,-0.209,0.130,-0.043,0.008,0.002,0.017,0.064,0.071,111.4,-6.55,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.358,110.6,0.026,0.002,-0.010,0.0,0.071
1196.817,1.18,-0.33,1.13,-7.9,0.000,-8.1,0.0,-0.127,0.129,-0.043,0.094,0.001,0.006,0.064,0.069,111.5,-6.27,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.356,110.8,0.027,0.001,-0.010,0.0,0.069
1196.883,0.64,-0.26,0.59,-15.3,0.000,-8.0,0.0,-0.009,0.125,-0.047,0.162,-0.001,0.014,0.064,0.068,111.6,-5.68,0.36,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.354,111.0,0.033,0.000,-0.010,0.0,0.068
1196.950,0.20,-0.17,-0.11,-115.4,0.000,-7.8,0.0,0.129,0.101,-0.051,0.191,-0.002,0.029,0.064,0.066,111.7,-4.92,0.21,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.352,111.3,0.039,0.000,-0.010,0.0,0.066
1197.000,0.64,-0.09,-0.64,-163.7,0.000,-7.6,0.0,0.211,0.108,-0.047,0.180,-0.007,0.048,0.064,0.065,111.8,-4.34,0.30,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.351,111.4,0.049,0.001,-0.010,0.0,0.065
1197.067,1.19,-0.02,-1.19,-171.9,0.000,-7.4,0.0,0.259,0.118,-0.041,0.123,-0.011,0.074,0.064,0.064,111.8,-3.71,0.61,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.349,111.6,0.064,0.001,-0.009,0.0,0.064
1197.133,1.45,0.03,-1.45,-174.3,0.000,-7.1,0.0,0.241,0.108,-0.034,0.035,-0.012,0.106,0.064,0.063,111.8,-3.39,0.85,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.349,111.6,0.079,0.002,-0.009,0.0,0.063
1197.200,1.35,0.06,-1.35,-175.8,0.000,-6.8,0.0,0.174,0.097,-0.026,-0.062,-0.009,0.118,0.064,0.061,111.9,-3.44,0.88,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.348,111.7,0.083,0.003,-0.009,0.0,0.061
