# mouseaim recording  v0.50.0  session=20260706-120741
# started 2026-07-06 12:56:39  t=2545.777
# aircraft 'Aryx_LightHelicopter1_Definition'
# config law=EvolvedLegacy sens=3.0 chaseDamp=0.25 pitchG=1.0 yawG=1.0 rollG=1.00 rollDamp=0.10 rollSm=0.06 bankGain=3.0 bankDz=2.5 maxBank=72 fineAng=6 fineBoost=2.5 align=25 coord=0.90 brake=0.35 yawSc=0.35 slew=6.0 iGain=0.80 iLeak=0.50 iCap=0.12 yawAssist=1 yaStr=0.70 yaResp=0.80 coordPull=0.80 coordCap=0.85 bankAuth=5.0 yawFade=1.00 trGain=0.90 pullRel=2.0 alignHold=5.0 heliFwd=150 heliHover=40 heliYawSc=2.00
t,off,azErr,elevErr,phi,bigTurn,bank,targetBank,outP,outR,outY,pitchRate,yawRate,rollRate,yawEff,yawWeak,spd,aoa,g,phase,flyLevel,engP,engR,engY,controlLaw,heliBlend,vFwd,rollRateF,iPitch,iYaw,bankTR,bankBlend
2545.783,1.06,-1.07,-0.04,-91.7,0.000,-0.3,-1.6,0.001,0.003,-0.218,-0.008,0.123,0.029,0.616,0.632,22.4,-9.19,0.14,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,1.000,22.0,0.019,0.000,0.002,-2.6,0.632
2545.833,1.34,-1.35,-0.01,-90.4,0.000,-0.2,-2.4,-0.003,0.001,-0.253,-0.008,0.086,0.035,0.599,0.622,22.4,-9.21,0.19,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,1.000,22.1,0.027,0.000,0.001,-3.9,0.622
2545.884,1.51,-1.52,0.01,-89.6,0.000,-0.1,-3.3,-0.006,-0.001,-0.266,-0.008,0.043,0.038,0.563,0.624,22.4,-9.21,0.23,FINE,0,0.0,0.0,0.0,EvolvedLegacy,1.000,22.1,0.032,0.000,0.000,-4.7,0.624
2545.950,1.51,-1.52,0.03,-88.8,0.000,0.0,-3.6,-0.007,-0.003,-0.241,-0.005,-0.025,0.031,0.502,0.654,22.5,-9.18,0.28,FINE,0,0.0,0.0,0.0,EvolvedLegacy,1.000,22.2,0.033,0.000,-0.001,-4.7,0.654
2546.000,1.34,-1.35,0.04,-88.3,0.000,0.1,-2.5,-0.007,-0.004,-0.209,-0.003,-0.077,0.021,0.480,0.644,22.5,-9.15,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,1.000,22.2,0.028,0.000,-0.002,-3.9,0.644
2546.067,0.91,-0.91,0.05,-87.3,0.000,0.2,-1.2,-0.007,-0.005,-0.135,0.000,-0.131,0.009,0.499,0.630,22.5,-9.10,0.21,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,1.000,22.2,0.019,0.000,-0.002,-1.9,0.630
2546.134,0.33,-0.33,0.04,-83.3,0.000,0.3,0.0,-0.005,-0.006,-0.027,0.002,-0.163,-0.001,0.543,0.617,22.6,-9.06,0.14,FINE,0,0.0,0.0,0.0,EvolvedLegacy,1.000,22.3,0.008,0.000,-0.003,0.0,0.617
2546.200,0.32,0.32,0.02,85.3,0.000,0.3,0.0,-0.002,-0.005,0.104,0.004,-0.167,-0.013,0.543,0.605,22.6,-9.02,0.07,FINE,0,0.0,0.0,0.0,EvolvedLegacy,1.000,22.3,-0.003,0.000,-0.002,0.0,0.605
2546.250,0.77,0.78,0.01,89.1,0.000,0.3,0.8,0.001,-0.005,0.186,0.005,-0.152,-0.024,0.608,0.595,22.7,-9.00,0.10,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,1.000,22.4,-0.012,0.000,-0.002,1.3,0.595
2546.317,1.26,1.27,-0.02,90.5,0.000,0.3,2.1,0.006,-0.002,0.259,0.006,-0.111,-0.037,0.607,0.583,22.7,-8.97,0.18,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,1.000,22.4,-0.025,0.000,-0.001,3.5,0.583
