# mouseaim recording  v0.50.0  session=20260707-192338
# started 2026-07-07 19:26:56  t=142.327
# aircraft 'Multirole1'
# config law=EvolvedLegacy sens=3.0 chaseDamp=0.25 pitchG=1.0 yawG=1.0 rollG=1.00 rollDamp=0.10 rollSm=0.06 bankGain=3.0 bankDz=2.5 maxBank=72 fineAng=6 fineBoost=2.5 align=25 coord=0.90 brake=0.35 yawSc=0.35 slew=6.0 iGain=0.80 iLeak=0.50 iCap=0.12 yawAssist=1 yaStr=0.70 yaResp=0.80 coordPull=0.80 coordCap=0.85 bankAuth=5.0 yawFade=1.00 trGain=0.90 pullRel=2.0 alignHold=5.0 heliFwd=150 heliHover=40 heliYawSc=2.00
t,off,azErr,elevErr,phi,bigTurn,bank,targetBank,outP,outR,outY,pitchRate,yawRate,rollRate,yawEff,yawWeak,spd,aoa,g,phase,flyLevel,engP,engR,engY,controlLaw,heliBlend,vFwd,rollRateF,iPitch,iYaw,bankTR,bankBlend
142.333,1.86,1.82,0.37,115.2,0.000,-36.7,24.7,-0.074,1.000,0.135,-0.008,-0.039,-0.562,0.637,0.622,361.8,0.87,0.54,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,-1.060,0.010,-0.010,37.4,0.622
142.383,1.87,1.83,0.39,115.4,0.000,-37.3,25.8,-0.078,1.000,0.120,-0.001,0.011,-0.045,0.587,0.645,361.8,0.84,0.59,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,-0.607,0.010,-0.009,37.5,0.645
142.450,1.70,1.68,0.25,117.3,0.000,-35.8,24.3,-0.050,1.000,0.090,0.009,0.074,0.652,0.568,0.673,361.8,0.78,0.50,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,0.049,0.010,-0.008,34.4,0.673
142.517,1.36,1.36,-0.02,122.5,0.000,-31.7,18.1,0.017,1.000,0.053,0.015,0.130,1.348,0.568,0.679,361.7,0.70,0.26,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,0.731,0.010,-0.007,26.4,0.679
142.567,1.03,1.00,-0.27,131.9,0.000,-26.8,10.8,0.079,0.752,0.019,0.016,0.162,1.866,0.568,0.669,361.7,0.66,0.23,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,1.247,0.011,-0.006,16.1,0.669
142.633,0.68,0.37,-0.57,165.0,0.000,-18.2,0.0,0.127,0.352,-0.037,0.010,0.192,2.472,0.568,0.655,361.6,0.63,0.54,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,1.908,0.011,-0.005,0.0,0.655
142.700,0.82,-0.36,-0.73,-145.9,0.000,-8.0,0.0,0.123,-0.048,-0.096,0.000,0.196,2.722,0.568,0.642,361.5,0.68,0.68,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.5,2.387,0.011,-0.005,0.0,0.642
142.767,1.29,-1.06,-0.73,-126.8,0.000,2.2,-11.3,0.069,-0.448,-0.139,-0.008,0.175,2.610,0.658,0.628,361.6,0.80,0.55,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.4,2.560,0.011,-0.006,-18.1,0.628
142.817,1.64,-1.50,-0.66,-122.9,0.000,9.2,-19.3,0.005,-0.748,-0.156,-0.008,0.145,2.370,0.696,0.630,361.6,0.92,0.39,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.5,2.500,0.011,-0.006,-30.1,0.630
142.883,1.99,-1.92,-0.53,-122.5,0.000,17.2,-27.9,-0.068,-1.000,-0.157,-0.007,0.095,1.896,0.699,0.659,361.7,1.07,0.43,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.5,2.218,0.012,-0.007,-39.4,0.659
142.950,2.18,-2.13,-0.43,-124.4,0.000,23.0,-32.4,-0.086,-1.000,-0.145,-0.002,0.040,1.282,0.661,0.686,361.8,1.17,0.72,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.5,1.754,0.012,-0.008,-43.4,0.686
143.017,2.19,-2.15,-0.42,-127.2,0.000,26.2,-33.7,-0.083,-1.000,-0.123,0.000,-0.016,0.567,0.593,0.711,361.8,1.18,0.88,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,1.148,0.012,-0.009,-43.7,0.711
143.067,2.10,-2.04,-0.48,-130.1,0.000,26.8,-32.7,-0.070,-1.000,-0.103,0.005,-0.057,0.016,0.573,0.728,361.8,1.14,0.90,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,0.639,0.013,-0.009,-41.7,0.728
143.133,1.87,-1.75,-0.66,-135.9,0.000,25.1,-28.5,-0.005,-1.000,-0.072,0.012,-0.106,-0.715,0.577,0.749,361.8,1.07,0.76,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.7,-0.071,0.013,-0.010,-36.0,0.749
143.200,1.58,-1.30,-0.90,-145.2,0.000,20.6,-18.9,0.097,-0.885,-0.038,0.010,-0.146,-1.436,0.577,0.747,361.8,0.97,0.48,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.7,-0.789,0.013,-0.010,-25.0,0.747
143.267,1.29,-0.70,-1.09,-160.6,0.000,13.5,-4.9,0.185,-0.485,0.001,-0.001,-0.174,-2.114,0.577,0.731,361.7,0.88,0.33,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,-1.493,0.014,-0.010,-6.7,0.731
143.317,1.16,-0.18,-1.14,-177.6,0.000,6.7,0.0,0.188,-0.185,0.032,-0.014,-0.186,-2.478,0.577,0.720,361.6,0.83,0.46,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,-1.962,0.014,-0.010,0.0,0.720
143.383,1.20,0.53,-1.07,157.0,0.000,-3.2,0.7,0.173,0.215,0.074,-0.022,-0.184,-2.612,0.577,0.705,361.6,0.81,0.41,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.5,-2.359,0.014,-0.010,1.0,0.705
143.450,1.46,1.16,-0.88,140.0,0.000,-12.8,14.4,0.090,0.615,0.105,-0.024,-0.161,-2.429,0.577,0.691,361.6,0.87,0.30,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.5,-2.448,0.015,-0.009,20.9,0.691
143.517,1.75,1.63,-0.64,132.6,0.000,-21.2,24.3,0.001,1.000,0.119,-0.020,-0.123,-2.026,0.657,0.696,361.7,0.96,0.25,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.5,-2.267,0.015,-0.008,33.3,0.696
143.567,1.93,1.87,-0.48,130.6,0.000,-26.2,29.3,-0.049,1.000,0.118,-0.016,-0.086,-1.617,0.673,0.714,361.8,1.02,0.43,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,-1.991,0.015,-0.007,38.4,0.714
143.633,2.05,2.03,-0.34,130.5,0.000,-30.9,32.9,-0.078,1.000,0.107,-0.008,-0.032,-0.979,0.646,0.737,361.9,1.06,0.71,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,-1.481,0.016,-0.006,41.5,0.737
143.700,2.03,2.01,-0.34,132.6,0.000,-32.9,33.4,-0.073,1.000,0.087,-0.001,0.025,-0.265,0.611,0.758,361.9,1.03,0.82,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.7,-0.857,0.016,-0.005,41.1,0.758
143.767,1.89,1.83,-0.48,136.8,0.000,-32.2,30.9,-0.026,1.000,0.061,0.007,0.078,0.460,0.611,0.777,361.9,0.96,0.75,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.7,-0.170,0.016,-0.004,37.6,0.777
143.817,1.71,1.59,-0.65,142.1,0.000,-29.9,26.5,0.033,1.000,0.037,0.010,0.115,0.998,0.611,0.788,361.8,0.89,0.53,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.7,0.360,0.017,-0.003,32.2,0.788
143.883,1.45,1.12,-0.92,153.6,0.000,-24.4,15.3,0.135,0.816,0.004,0.007,0.153,1.703,0.611,0.772,361.8,0.79,0.27,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.7,1.068,0.017,-0.002,19.8,0.772
143.950,1.24,0.51,-1.14,172.2,0.000,-16.3,0.2,0.207,0.416,-0.035,-0.004,0.180,2.360,0.611,0.756,361.7,0.71,0.40,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,361.6,1.756,0.017,-0.002,0.2,0.756
