# mouseaim recording  v0.50.0  session=20260707-192338
# started 2026-07-07 19:39:51  t=829.377
# aircraft 'Trainer'
# config law=EvolvedLegacy sens=3.0 chaseDamp=0.25 pitchG=1.0 yawG=1.0 rollG=1.00 rollDamp=0.10 rollSm=0.06 bankGain=3.0 bankDz=2.5 maxBank=72 fineAng=6 fineBoost=2.5 align=25 coord=0.90 brake=0.35 yawSc=0.35 slew=6.0 iGain=0.80 iLeak=0.50 iCap=0.12 yawAssist=1 yaStr=0.70 yaResp=0.80 coordPull=0.80 coordCap=0.85 bankAuth=5.0 yawFade=1.00 trGain=0.90 pullRel=2.0 alignHold=5.0 heliFwd=150 heliHover=40 heliYawSc=2.00
t,off,azErr,elevErr,phi,bigTurn,bank,targetBank,outP,outR,outY,pitchRate,yawRate,rollRate,yawEff,yawWeak,spd,aoa,g,phase,flyLevel,engP,engR,engY,controlLaw,heliBlend,vFwd,rollRateF,iPitch,iYaw,bankTR,bankBlend
829.383,0.53,-0.46,-0.28,-117.6,0.000,-4.0,0.0,0.037,-0.060,-0.087,-0.022,0.000,0.030,0.172,0.057,92.2,0.49,0.36,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,92.1,0.039,0.007,-0.009,0.0,0.057
829.450,0.49,-0.45,-0.21,-110.8,0.000,-3.9,0.0,0.027,-0.051,-0.084,-0.017,-0.005,0.019,0.172,0.056,92.1,0.52,0.36,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,91.9,0.029,0.007,-0.009,0.0,0.056
829.517,0.45,-0.42,-0.15,-105.6,0.000,-3.9,0.0,0.021,-0.040,-0.079,-0.012,-0.009,0.010,0.172,0.054,91.9,0.56,0.34,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,91.8,0.019,0.007,-0.009,0.0,0.054
829.583,0.40,-0.39,-0.11,-102.3,0.000,-3.8,0.0,0.017,-0.027,-0.072,-0.008,-0.012,0.001,0.172,0.053,91.8,0.62,0.34,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,91.6,0.009,0.007,-0.009,0.0,0.053
829.650,0.35,-0.34,-0.09,-100.8,0.000,-3.9,0.0,0.016,-0.013,-0.063,-0.004,-0.014,-0.006,0.172,0.052,91.6,0.69,0.32,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,91.5,0.001,0.007,-0.009,0.0,0.052
829.700,0.31,-0.30,-0.08,-100.9,0.000,-3.9,0.0,0.016,-0.003,-0.056,-0.002,-0.015,-0.011,0.172,0.051,91.5,0.75,0.33,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,91.4,-0.004,0.007,-0.009,0.0,0.051
829.767,0.33,-0.29,-0.16,-115.5,0.000,-3.9,0.0,0.031,-0.009,-0.056,-0.001,-0.014,-0.016,0.172,0.050,91.3,0.82,0.32,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,91.2,-0.011,0.006,-0.009,0.0,0.050
829.833,0.36,-0.27,-0.24,-128.6,0.000,-4.0,0.0,0.044,-0.008,-0.053,-0.003,-0.015,-0.022,0.172,0.049,91.2,0.89,0.32,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,91.0,-0.016,0.006,-0.009,0.0,0.049
829.900,0.30,-0.21,-0.22,-132.0,0.000,-4.1,0.0,0.038,0.008,-0.044,-0.007,-0.014,-0.026,0.172,0.048,91.0,0.93,0.32,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,90.9,-0.022,0.006,-0.009,0.0,0.048
829.950,0.27,-0.17,-0.21,-137.1,0.000,-4.2,0.0,0.036,0.021,-0.037,-0.010,-0.014,-0.026,0.172,0.048,90.9,0.96,0.31,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,90.8,-0.024,0.006,-0.009,0.0,0.048
830.017,0.23,-0.13,-0.20,-142.7,0.000,-4.2,0.0,0.032,0.036,-0.030,-0.013,-0.012,-0.022,0.172,0.047,90.7,0.98,0.31,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,90.6,-0.023,0.006,-0.008,0.0,0.047
830.083,0.17,-0.09,-0.15,-143.2,0.000,-4.3,0.0,0.023,0.048,-0.024,-0.014,-0.008,-0.015,0.172,0.046,90.6,0.99,0.31,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,90.5,-0.020,0.006,-0.008,0.0,0.046
830.150,0.14,-0.07,-0.12,-146.6,0.000,-4.3,0.0,0.019,0.056,-0.020,-0.014,-0.006,-0.006,0.172,0.045,90.4,1.00,0.29,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,90.3,-0.013,0.006,-0.008,0.0,0.045
830.200,0.18,-0.05,-0.17,-159.3,0.000,-4.4,0.0,0.029,0.060,-0.018,-0.012,-0.004,0.001,0.172,0.044,90.3,1.01,0.29,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,90.2,-0.007,0.006,-0.008,0.0,0.044
830.267,0.18,0.00,-0.18,179.2,0.000,-4.3,0.0,0.031,0.075,-0.007,-0.012,-0.001,0.013,0.172,0.043,90.2,1.02,0.30,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,90.1,0.003,0.006,-0.008,0.0,0.043
830.333,0.20,0.04,-0.20,171.8,0.000,-4.2,0.0,0.035,0.085,-0.003,-0.011,0.003,0.025,0.172,0.042,90.0,1.03,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,89.9,0.014,0.006,-0.007,0.0,0.042
830.400,0.22,0.05,-0.21,169.9,0.000,-4.1,0.0,0.038,0.084,-0.002,-0.012,0.007,0.038,0.172,0.041,89.9,1.04,0.30,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,89.8,0.027,0.006,-0.007,0.0,0.041
830.450,0.21,0.03,-0.21,174.9,0.000,-4.0,0.0,0.037,0.076,-0.006,-0.012,0.008,0.048,0.172,0.041,89.8,1.05,0.29,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,89.7,0.036,0.006,-0.007,0.0,0.041
830.517,0.31,0.00,-0.31,-176.4,0.000,-3.8,0.0,0.053,0.061,-0.013,-0.013,0.011,0.059,0.172,0.040,89.6,1.05,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,89.5,0.048,0.006,-0.007,0.0,0.040
830.583,0.38,-0.04,-0.38,-170.4,0.000,-3.5,0.0,0.063,0.043,-0.021,-0.015,0.013,0.068,0.172,0.039,89.5,1.04,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,89.4,0.059,0.006,-0.007,0.0,0.039
830.650,0.40,-0.09,-0.39,-163.9,0.000,-3.3,0.0,0.062,0.023,-0.028,-0.018,0.013,0.077,0.172,0.038,89.3,1.02,0.30,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,89.2,0.069,0.006,-0.006,0.0,0.038
830.700,0.36,-0.13,-0.33,-156.1,0.000,-3.0,0.0,0.051,0.006,-0.034,-0.020,0.012,0.079,0.172,0.038,89.2,1.00,0.29,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,89.1,0.074,0.006,-0.006,0.0,0.038
830.767,0.31,-0.17,-0.26,-143.0,0.000,-2.7,0.0,0.038,-0.014,-0.041,-0.021,0.010,0.079,0.172,0.037,89.1,0.98,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,89.0,0.077,0.006,-0.006,0.0,0.037
830.833,0.28,-0.22,-0.18,-127.8,0.000,-2.5,0.0,0.025,-0.028,-0.047,-0.019,0.009,0.074,0.172,0.036,88.9,0.96,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,88.9,0.076,0.006,-0.006,0.0,0.036
830.900,0.27,-0.25,-0.12,-113.6,0.000,-2.2,0.0,0.016,-0.033,-0.051,-0.015,0.006,0.067,0.172,0.035,88.8,0.95,0.27,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,88.7,0.072,0.006,-0.006,0.0,0.035
830.950,0.27,-0.26,-0.08,-105.3,0.000,-2.0,0.0,0.012,-0.035,-0.053,-0.012,0.004,0.061,0.172,0.035,88.7,0.96,0.26,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,88.6,0.067,0.006,-0.006,0.0,0.035
831.017,0.27,-0.27,-0.05,-98.2,0.000,-1.8,0.0,0.009,-0.035,-0.054,-0.007,0.001,0.052,0.172,0.034,88.6,0.99,0.26,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,88.5,0.059,0.006,-0.006,0.0,0.034
831.083,0.27,-0.27,-0.03,-94.8,0.000,-1.6,0.0,0.008,-0.036,-0.053,-0.003,-0.001,0.043,0.172,0.033,88.4,1.04,0.26,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,88.4,0.051,0.006,-0.006,0.0,0.033
831.150,0.26,-0.26,-0.03,-94.5,0.000,-1.5,0.0,0.009,-0.035,-0.051,0.000,-0.003,0.034,0.172,0.033,88.3,1.09,0.25,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,88.2,0.042,0.006,-0.006,0.0,0.033
831.200,0.25,-0.25,-0.03,-95.6,0.000,-1.4,0.0,0.011,-0.033,-0.048,0.002,-0.004,0.027,0.172,0.032,88.2,1.14,0.25,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,88.1,0.035,0.006,-0.006,0.0,0.032
831.267,0.23,-0.23,-0.04,-98.2,0.000,-1.3,0.0,0.013,-0.030,-0.044,0.002,-0.006,0.018,0.172,0.032,88.1,1.20,0.25,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,88.0,0.026,0.005,-0.006,0.0,0.032
831.333,0.20,-0.20,-0.05,-101.6,0.000,-1.3,0.0,0.014,-0.025,-0.039,0.002,-0.008,0.008,0.172,0.031,87.9,1.26,0.25,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,87.8,0.017,0.005,-0.006,0.0,0.031
831.400,0.17,-0.17,-0.05,-104.9,0.000,-1.3,0.0,0.013,-0.019,-0.034,0.001,-0.008,-0.001,0.172,0.030,87.8,1.31,0.24,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,87.7,0.007,0.005,-0.006,0.0,0.030
831.450,0.15,-0.14,-0.05,-106.8,0.000,-1.3,0.0,0.013,-0.013,-0.030,-0.001,-0.009,-0.008,0.172,0.030,87.7,1.35,0.24,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,87.6,0.000,0.005,-0.006,0.0,0.030
