# mouseaim recording  v0.50.0  session=20260707-194204
# started 2026-07-07 19:47:50  t=278.986
# aircraft 'FS-12'
# config law=EvolvedLegacy sens=3.0 chaseDamp=0.25 pitchG=1.0 yawG=1.0 rollG=1.00 rollDamp=0.10 rollSm=0.06 bankGain=3.0 bankDz=2.5 maxBank=72 fineAng=6 fineBoost=2.5 align=25 coord=0.90 brake=0.35 yawSc=0.35 slew=6.0 iGain=0.80 iLeak=0.50 iCap=0.12 yawAssist=1 yaStr=0.70 yaResp=0.80 coordPull=0.80 coordCap=0.85 bankAuth=5.0 yawFade=1.00 trGain=0.90 pullRel=2.0 alignHold=5.0 heliFwd=150 heliHover=40 heliYawSc=2.00
t,off,azErr,elevErr,phi,bigTurn,bank,targetBank,outP,outR,outY,pitchRate,yawRate,rollRate,yawEff,yawWeak,spd,aoa,g,phase,flyLevel,engP,engR,engY,controlLaw,heliBlend,vFwd,rollRateF,iPitch,iYaw,bankTR,bankBlend
279.000,10.49,3.00,-10.09,-156.9,0.236,-36.2,17.1,-0.328,-0.800,-0.074,-1.355,-0.122,-0.423,0.457,0.798,84.7,10.50,0.77,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,82.1,-0.343,0.000,0.000,18.7,0.609
279.050,6.98,0.70,-6.95,-145.7,0.052,-37.6,1.2,-0.370,-0.500,-0.064,-1.301,-0.127,-0.489,0.457,0.785,85.3,6.36,0.89,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,83.6,-0.410,0.000,0.000,1.6,0.745
279.117,3.70,-2.10,-3.08,-104.8,0.000,-39.7,-12.0,-0.604,-0.196,-0.137,-1.176,-0.134,-0.558,0.478,0.769,86.2,1.50,0.83,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,85.0,-0.491,0.000,-0.001,-12.5,0.769
279.167,3.88,-3.94,-0.48,-54.2,0.000,-41.4,-26.7,-0.904,-0.371,-0.110,-1.045,-0.152,-0.605,0.536,0.757,86.9,-1.56,0.89,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,85.7,-0.543,0.000,-0.002,-25.5,0.757
279.233,6.40,-5.99,2.48,-22.1,0.021,-43.9,-41.2,-0.997,-0.184,-0.024,-0.852,-0.151,-0.662,0.564,0.754,87.7,-4.86,0.87,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,86.4,-0.608,0.000,-0.002,-37.6,0.738
279.283,8.33,-7.26,4.25,-12.4,0.123,-45.9,-49.0,-1.000,-0.073,-0.015,-0.693,-0.129,-0.684,0.564,0.768,88.2,-6.70,0.93,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,86.7,-0.645,0.000,-0.002,-43.7,0.674
279.350,10.37,-8.56,5.99,-5.3,0.230,-48.6,-55.9,-1.000,0.009,-0.001,-0.473,-0.101,-0.684,0.564,0.787,88.9,-8.29,1.06,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,87.2,-0.671,0.000,-0.002,-48.9,0.606
279.400,11.39,-9.20,6.85,-1.7,0.284,-50.5,-59.0,-0.978,0.048,0.010,-0.307,-0.081,-0.669,0.564,0.799,89.4,-8.85,1.16,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,87.6,-0.673,0.000,-0.002,-51.2,0.573
279.467,12.05,-9.56,7.45,1.9,0.318,-53.0,-60.7,-0.912,0.086,0.022,-0.091,-0.057,-0.619,0.564,0.815,90.0,-8.83,1.25,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,88.3,-0.650,0.000,-0.002,-52.6,0.556
279.517,12.01,-9.45,7.53,4.2,0.316,-54.6,-60.4,-0.843,0.108,0.030,0.068,-0.039,-0.555,0.564,0.826,90.5,-8.27,1.29,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,88.9,-0.610,0.000,-0.002,-52.4,0.565
279.583,11.27,-8.76,7.19,6.9,0.277,-56.5,-57.5,-0.722,0.129,0.036,0.274,-0.017,-0.441,0.564,0.840,91.1,-6.86,1.29,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,89.8,-0.527,0.000,-0.002,-50.3,0.607
279.633,10.19,-7.81,6.64,9.0,0.221,-57.6,-52.8,-0.598,0.145,0.038,0.423,-0.004,-0.342,0.564,0.842,91.6,-5.33,1.25,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,90.5,-0.445,0.000,-0.002,-47.0,0.656
279.700,7.96,-5.78,5.54,13.5,0.103,-58.5,-40.9,-0.359,0.182,0.040,0.613,0.008,-0.187,0.564,0.825,92.2,-2.75,1.26,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,91.4,-0.314,0.000,-0.002,-38.0,0.740
279.767,5.05,-3.02,4.09,23.8,0.000,-58.8,-20.8,-0.075,0.376,0.059,0.796,0.015,-0.019,0.564,0.808,93.0,0.44,1.37,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,92.2,-0.161,0.000,-0.002,-20.5,0.808
279.833,2.39,0.82,2.25,79.4,0.000,-58.5,2.2,0.302,0.776,0.128,0.976,0.035,0.144,0.556,0.792,93.7,4.21,1.53,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,92.6,-0.001,-0.001,-0.001,2.8,0.792
279.883,4.30,4.34,0.58,141.3,0.000,-57.8,31.4,0.602,1.000,0.095,1.105,0.054,0.261,0.540,0.783,94.3,7.37,1.75,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,92.6,0.118,-0.001,0.000,30.1,0.783
279.950,9.18,9.17,-1.98,160.4,0.167,-56.5,61.4,0.669,1.000,0.065,1.238,0.047,0.420,0.540,0.800,95.1,11.86,2.03,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,92.1,0.277,0.000,0.000,52.9,0.666
280.017,14.31,13.90,-4.75,165.7,0.437,-54.6,72.0,0.736,1.000,0.082,1.331,0.032,0.589,0.540,0.816,95.9,16.53,2.23,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,91.0,0.441,0.000,0.000,64.1,0.459
280.083,19.43,18.52,-7.67,167.3,0.707,-52.3,72.0,0.680,1.000,0.093,1.387,0.022,0.752,0.540,0.830,96.6,21.32,2.23,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,89.2,0.606,0.000,0.000,70.3,0.243
280.133,23.31,22.02,-9.95,167.4,0.911,-50.3,72.0,0.550,1.000,0.097,1.395,0.013,0.855,0.540,0.840,97.0,24.90,2.03,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,87.3,0.721,0.000,0.000,73.3,0.075
280.200,28.39,26.60,-13.03,166.5,1.000,-47.4,72.0,0.476,1.000,0.116,1.353,0.003,0.965,0.509,0.853,97.4,29.45,1.71,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,84.4,0.854,0.000,0.000,76.2,0.000
280.267,33.15,30.93,-16.05,164.7,1.000,-44.3,72.0,0.469,1.000,0.149,1.246,0.008,1.044,0.451,0.865,97.6,33.51,1.39,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,81.2,0.959,0.000,0.000,78.1,0.000
280.333,37.28,34.69,-18.89,162.5,1.000,-41.1,72.0,0.441,1.000,0.184,1.072,0.027,1.087,0.409,0.875,97.5,36.82,1.06,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,78.0,1.033,0.000,0.000,79.4,0.000
280.383,39.80,36.93,-20.81,160.7,1.000,-38.7,72.0,0.405,1.000,0.210,0.898,0.049,1.099,0.391,0.883,97.2,38.67,0.92,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,75.9,1.066,0.000,0.000,80.0,0.000
280.450,41.83,38.52,-22.89,158.5,1.000,-35.5,72.0,0.346,1.000,0.236,0.642,0.084,1.092,0.382,0.892,96.6,40.20,1.01,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,73.8,1.084,0.000,0.000,80.4,0.000
280.517,42.20,38.22,-24.38,156.8,1.000,-32.2,72.0,0.279,1.000,0.249,0.377,0.119,1.068,0.389,0.901,96.0,40.64,1.19,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,72.7,1.079,0.000,0.000,80.2,0.000
280.583,42.22,37.72,-25.29,154.2,1.000,-29.0,72.0,0.210,1.000,0.269,0.116,0.154,1.035,0.409,0.909,95.3,39.98,1.33,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,72.7,1.057,0.000,0.000,80.0,0.000
280.633,41.66,36.78,-25.51,152.2,1.000,-26.5,72.0,0.157,1.000,0.281,-0.075,0.182,1.008,0.430,0.914,94.8,38.79,1.38,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,73.4,1.035,0.000,0.000,79.7,0.000
280.700,40.09,34.70,-25.25,149.5,1.000,-23.2,72.0,0.086,1.000,0.290,-0.320,0.217,0.978,0.465,0.921,94.2,36.32,1.40,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,75.3,1.004,0.000,0.000,79.0,0.000
280.767,37.24,31.18,-24.32,147.5,1.000,-19.8,72.0,0.014,1.000,0.279,-0.555,0.248,0.964,0.510,0.904,93.8,32.89,1.35,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,77.9,0.981,0.000,0.000,77.8,0.000
280.833,33.85,27.74,-22.41,144.5,1.000,-16.2,72.0,-0.062,1.000,0.272,-0.790,0.274,0.975,0.565,0.885,93.6,28.54,1.33,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,81.2,0.974,0.000,0.000,76.2,0.000
280.883,30.94,25.24,-20.31,141.2,1.000,-13.4,68.2,-0.118,1.000,0.266,-0.953,0.290,1.001,0.611,0.872,93.7,24.72,1.29,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,83.9,0.983,0.000,0.000,74.9,0.000
280.950,26.99,22.58,-16.69,134.4,1.000,-9.4,60.2,-0.189,1.000,0.263,-1.136,0.310,1.061,0.677,0.854,93.9,19.04,1.17,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,87.5,1.019,0.000,0.000,73.2,0.000
281.017,22.96,20.34,-12.28,124.4,0.892,-5.0,71.0,-0.272,1.000,0.297,-1.270,0.331,1.152,0.743,0.836,94.4,12.88,1.10,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,90.7,1.085,0.000,0.000,71.6,0.090
281.083,19.35,18.51,-7.34,110.0,0.703,-0.3,72.0,-0.443,1.000,0.330,-1.337,0.364,1.219,0.789,0.819,95.1,6.66,1.02,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,93.3,1.158,0.000,0.000,70.0,0.243
281.133,17.40,17.48,-3.45,95.9,0.600,3.5,72.0,-0.607,0.945,0.325,-1.347,0.386,1.259,0.823,0.806,95.7,2.22,1.12,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,94.7,1.204,0.000,0.000,69.0,0.322
281.200,16.40,16.55,1.78,73.6,0.548,8.6,72.0,-0.828,0.692,0.293,-1.316,0.398,1.325,0.876,0.790,96.6,-3.20,1.38,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,95.8,1.267,0.000,0.000,68.1,0.357
281.267,17.34,16.09,6.81,52.0,0.597,14.0,72.0,-1.000,0.445,0.241,-1.222,0.384,1.380,0.944,0.773,97.4,-7.83,1.50,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,96.1,1.328,0.000,0.000,67.6,0.312
281.333,19.55,16.04,11.31,34.9,0.713,19.3,72.0,-1.000,0.251,0.174,-1.049,0.348,1.389,1.035,0.758,98.1,-11.41,1.41,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,96.0,1.367,0.000,0.000,67.7,0.217
281.383,21.43,16.18,14.15,25.2,0.812,23.3,63.0,-1.000,0.143,0.121,-0.881,0.310,1.375,1.133,0.746,98.5,-13.29,1.40,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,95.9,1.373,0.000,0.000,68.0,0.140
281.450,23.63,16.37,17.11,15.2,0.928,28.3,50.6,-1.000,0.032,0.058,-0.637,0.250,1.349,1.224,0.731,99.0,-14.75,1.53,PULL,0,0.0,0.0,0.0,EvolvedLegacy,0.000,95.8,1.363,0.000,0.000,68.3,0.053
