# mouseaim recording  v0.51.0  session=20260710-223520
# started 2026-07-10 22:37:47  t=109.133
# aircraft 'Multirole1'
# config law=EvolvedLegacy sens=3.0 chaseDamp=0.25 pitchG=1.0 yawG=1.0 rollG=1.00 rollDamp=0.10 rollSm=0.06 bankGain=3.0 bankDz=2.5 maxBank=72 fineAng=6 fineBoost=2.5 align=25 coord=0.90 brake=0.35 yawSc=0.35 slew=6.0 iGain=0.80 iLeak=0.50 iCap=0.12 yawAssist=1 yaStr=0.70 yaResp=0.80 coordPull=0.40 coordCap=0.85 bankAuth=5.0 yawFade=1.00 trGain=0.92 pullRel=2.0 alignHold=5.0 leadT=0.65 aOffP=0.50 heliFwd=150 heliHover=40 heliYawSc=2.00
t,off,azErr,elevErr,phi,bigTurn,bank,targetBank,outP,outR,outY,pitchRate,yawRate,rollRate,yawEff,yawWeak,spd,aoa,g,phase,flyLevel,engP,engR,engY,controlLaw,heliBlend,vFwd,rollRateF,iPitch,iYaw,bankTR,bankBlend,headingRateFilt,azErrPred
109.133,0.37,-0.36,-0.11,-100.6,0.000,-6.2,0.0,0.011,0.014,-0.067,-0.003,-0.003,0.069,0.069,0.229,424.3,0.28,0.41,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,424.3,0.073,0.001,-0.014,0.0,0.229,0.00,-0.36
109.333,0.34,-0.33,-0.08,-97.4,0.000,-5.5,0.0,0.007,0.012,-0.063,-0.002,-0.002,0.060,0.069,0.216,425.0,0.29,0.39,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,425.0,0.063,0.001,-0.014,0.0,0.216,0.00,-0.33
109.533,0.31,-0.31,-0.05,-94.8,0.000,-4.9,0.0,0.004,0.010,-0.060,-0.001,-0.002,0.052,0.069,0.203,425.7,0.30,0.38,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,425.6,0.054,0.001,-0.013,0.0,0.203,0.00,-0.31
109.733,0.12,0.10,-0.06,123.1,0.000,-4.4,0.0,0.009,0.097,0.003,-0.006,-0.001,0.087,0.069,0.190,426.3,0.30,0.36,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,426.3,0.054,0.001,-0.012,0.0,0.190,0.00,0.10
109.933,1.86,1.88,0.13,80.6,0.000,5.2,4.0,-0.064,0.379,0.178,-0.006,0.084,1.607,0.117,0.295,426.5,0.16,0.62,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,426.5,1.141,0.001,-0.008,13.6,0.295,1.59,0.85
110.133,0.88,0.88,0.16,59.9,0.000,19.2,-11.7,-0.077,-0.721,0.080,0.033,0.045,0.613,0.254,0.336,426.8,0.49,0.43,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,426.7,0.976,0.000,-0.005,-34.7,0.336,3.65,-1.49
110.333,1.21,1.21,-0.20,83.0,0.000,16.0,9.8,-0.048,0.251,0.166,0.007,-0.090,-0.531,0.308,0.316,427.1,0.55,0.50,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,427.1,-0.413,-0.001,-0.003,31.1,0.316,-0.24,1.36
110.533,1.85,1.83,-0.37,82.4,0.000,18.7,25.8,-0.135,0.620,0.182,-0.009,0.008,1.097,0.299,0.428,427.4,0.38,1.08,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,427.4,0.576,-0.001,0.001,59.4,0.428,-1.68,2.93
110.733,0.95,0.96,-0.06,58.5,0.000,34.3,-3.5,-0.074,-0.414,0.065,0.028,0.101,1.033,0.367,0.479,427.5,0.41,0.56,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,427.4,1.228,-0.002,0.003,-7.3,0.479,2.52,-0.68
110.933,0.38,0.37,-0.11,71.9,0.000,35.2,-11.3,-0.014,-0.851,0.057,0.031,-0.038,-0.859,0.367,0.450,427.7,0.64,0.72,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,427.7,-0.266,-0.002,0.004,-25.2,0.450,2.37,-1.17
111.133,1.44,1.23,-0.78,102.8,0.000,19.6,23.9,-0.009,0.349,0.180,0.009,-0.097,-1.204,0.457,0.423,427.7,0.63,0.77,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,427.7,-1.308,-0.002,0.006,56.5,0.423,-2.21,2.66
111.333,1.63,1.47,-0.76,101.1,0.000,16.2,23.9,-0.043,0.660,0.149,-0.021,0.059,0.621,0.386,0.491,428.0,0.38,1.04,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,428.0,0.037,-0.001,0.008,48.8,0.491,-1.03,2.13
111.533,0.36,0.30,-0.20,95.3,0.000,27.9,-21.7,-0.001,-0.531,0.024,0.014,0.111,0.737,0.465,0.461,428.3,0.28,0.33,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,428.2,0.893,-0.001,0.010,-47.1,0.461,3.61,-2.04
111.733,0.27,0.03,-0.27,148.5,0.000,25.1,-8.0,0.052,-0.800,0.045,0.019,-0.074,-1.219,0.465,0.433,428.5,0.43,0.19,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,428.5,-0.614,0.000,0.009,-18.4,0.433,1.55,-0.98
111.933,1.46,1.28,-0.74,113.3,0.000,6.8,26.7,0.023,0.400,0.180,0.003,-0.098,-1.309,0.559,0.407,428.4,0.55,0.55,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,428.4,-1.481,0.001,0.010,65.5,0.407,-3.64,3.64
112.133,1.44,1.35,-0.53,109.1,0.000,2.5,21.4,-0.008,0.827,0.132,-0.030,0.077,0.551,0.467,0.463,428.7,0.27,0.70,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,428.7,-0.039,0.002,0.012,46.3,0.463,-0.98,1.99
112.333,0.10,0.00,-0.10,165.9,0.000,16.6,-24.9,0.025,-0.373,-0.014,0.008,0.116,1.145,0.522,0.435,428.8,0.16,0.44,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,428.8,1.195,0.002,0.012,-57.2,0.435,4.18,-2.72
112.533,0.32,-0.27,-0.17,-142.3,0.000,19.5,-13.1,0.047,-0.900,0.004,0.013,-0.073,-0.697,0.522,0.409,429.2,0.39,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,429.2,-0.104,0.002,0.010,-32.1,0.409,1.72,-1.39
112.733,1.14,1.02,-0.52,112.7,0.000,4.5,24.6,0.020,0.300,0.160,-0.005,-0.113,-1.277,0.576,0.384,429.2,0.48,0.58,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,429.2,-1.254,0.003,0.010,64.1,0.384,-3.71,3.44
112.933,1.31,1.28,-0.34,105.1,0.000,0.1,18.3,-0.011,0.879,0.142,-0.030,0.067,0.512,0.485,0.361,429.5,0.26,0.67,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,429.5,-0.053,0.004,0.012,50.6,0.361,-1.47,2.24
113.133,0.09,-0.09,0.01,-98.8,0.000,13.9,-19.6,0.008,-0.321,-0.030,0.009,0.120,1.150,0.526,0.339,429.6,0.15,0.48,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,429.6,1.190,0.003,0.012,-57.8,0.339,4.11,-2.77
113.333,0.41,-0.41,-0.08,-118.4,0.000,17.0,-12.1,0.035,-0.934,-0.021,0.014,-0.071,-0.672,0.526,0.319,430.0,0.41,0.33,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,429.9,-0.082,0.003,0.010,-38.0,0.319,1.85,-1.61
113.533,1.07,1.00,-0.41,111.4,0.000,1.1,19.6,0.030,0.266,0.164,0.003,-0.116,-1.321,0.602,0.299,430.0,0.52,0.42,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,429.9,-1.370,0.004,0.010,65.5,0.299,-4.03,3.62
113.733,1.21,1.21,-0.21,103.9,0.000,-4.0,13.7,-0.005,0.913,0.142,-0.032,0.071,0.455,0.502,0.281,430.3,0.28,0.62,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,430.3,-0.116,0.004,0.012,48.7,0.281,-1.41,2.12
113.933,0.21,-0.20,0.06,-84.9,0.000,10.1,-15.8,-0.001,-0.287,-0.049,0.008,0.119,1.226,0.545,0.264,430.3,0.16,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,430.3,1.235,0.004,0.011,-59.9,0.264,4.23,-2.95
