# mouseaim recording  v0.51.0  session=20260710-223520
# started 2026-07-10 22:40:20  t=261.759
# aircraft 'Trainer'
# config law=EvolvedLegacy sens=3.0 chaseDamp=0.25 pitchG=1.0 yawG=1.0 rollG=1.00 rollDamp=0.10 rollSm=0.06 bankGain=3.0 bankDz=2.5 maxBank=72 fineAng=6 fineBoost=2.5 align=25 coord=0.90 brake=0.35 yawSc=0.35 slew=6.0 iGain=0.80 iLeak=0.50 iCap=0.12 yawAssist=1 yaStr=0.70 yaResp=0.80 coordPull=0.40 coordCap=0.85 bankAuth=5.0 yawFade=1.00 trGain=0.92 pullRel=2.0 alignHold=5.0 leadT=0.65 aOffP=0.50 heliFwd=150 heliHover=40 heliYawSc=2.00
t,off,azErr,elevErr,phi,bigTurn,bank,targetBank,outP,outR,outY,pitchRate,yawRate,rollRate,yawEff,yawWeak,spd,aoa,g,phase,flyLevel,engP,engR,engY,controlLaw,heliBlend,vFwd,rollRateF,iPitch,iYaw,bankTR,bankBlend,headingRateFilt,azErrPred
261.767,0.00,0.00,0.01,17.5,0.000,-0.4,0.0,-0.001,0.005,0.000,0.000,0.000,0.015,0.548,0.134,108.4,1.04,0.21,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,108.4,0.011,0.001,-0.001,0.0,0.134,0.00,0.00
261.967,0.65,-0.65,0.01,-88.9,0.000,-0.2,-0.2,-0.002,-0.151,-0.101,0.000,-0.001,0.007,0.548,0.126,108.8,1.07,0.21,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,108.8,0.013,0.001,-0.001,-1.6,0.126,0.00,-0.65
262.167,2.13,-2.13,-0.17,-92.5,0.000,-1.9,-1.0,0.015,-0.415,-0.211,0.007,-0.103,-0.301,0.446,0.288,109.2,1.15,0.23,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,109.2,-0.209,0.001,-0.004,-1.6,0.288,-2.27,-0.66
262.367,0.77,-0.77,-0.07,-89.7,0.000,-5.2,7.1,-0.014,0.245,-0.076,-0.001,-0.112,-0.173,0.549,0.345,109.6,1.20,0.24,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,109.5,-0.239,0.001,-0.007,20.7,0.345,-5.20,2.61
262.567,0.11,0.11,0.00,93.4,0.000,-4.8,7.7,0.000,0.488,0.020,0.000,-0.043,0.200,0.549,0.324,109.9,1.19,0.22,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,109.8,0.102,0.001,-0.007,23.7,0.324,-4.36,2.95
262.767,0.22,0.22,0.01,88.2,0.000,-2.0,2.4,-0.001,0.187,0.023,0.001,0.011,0.228,0.549,0.304,110.3,1.10,0.22,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,110.2,0.236,0.001,-0.005,8.0,0.304,-1.63,1.28
262.967,0.00,0.00,0.00,85.0,0.000,-0.3,0.0,0.001,-0.007,-0.009,0.001,0.021,0.072,0.549,0.286,110.7,1.10,0.23,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,110.6,0.118,0.000,-0.005,0.0,0.286,-0.06,0.04
263.167,0.17,-0.17,0.00,-88.6,0.000,-0.1,0.0,-0.001,-0.033,-0.032,-0.001,0.009,-0.017,0.549,0.269,111.1,1.16,0.23,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,111.1,0.006,0.000,-0.004,0.0,0.269,0.13,-0.26
263.367,0.19,-0.20,0.01,-86.9,0.000,-0.6,0.0,-0.002,-0.023,-0.032,0.000,-0.003,-0.062,0.549,0.252,111.6,1.22,0.23,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,111.5,-0.050,0.000,-0.004,0.0,0.252,0.05,-0.23
263.567,0.13,-0.13,0.01,-85.3,0.000,-1.3,0.0,-0.002,0.003,-0.023,0.000,-0.006,-0.053,0.549,0.237,112.0,1.28,0.23,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,111.9,-0.059,0.000,-0.004,0.0,0.237,0.02,-0.14
263.767,5.06,-4.97,-1.02,-99.6,0.000,-1.8,-24.1,0.005,-0.581,-0.291,-0.010,-0.018,-0.098,0.486,0.289,112.4,1.30,0.25,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,112.3,-0.055,0.001,-0.006,-39.4,0.289,0.01,-4.98
263.967,4.67,-4.57,-1.02,-95.9,0.000,-6.5,-20.3,0.005,-0.942,-0.234,0.009,-0.131,-0.635,0.444,0.445,112.7,1.50,0.29,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,112.6,-0.496,0.001,-0.007,-18.4,0.445,-3.48,-2.31
264.167,2.93,-2.86,-0.69,-89.1,0.000,-14.3,0.8,-0.038,-0.311,-0.192,-0.008,-0.157,-0.606,0.532,0.524,113.1,1.78,0.44,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,112.8,-0.642,0.001,-0.010,11.3,0.524,-6.83,1.58
264.367,1.32,-1.27,-0.37,-87.7,0.000,-18.7,14.8,-0.034,0.388,-0.116,0.030,-0.117,-0.139,0.648,0.500,113.4,2.05,0.60,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,112.9,-0.285,0.001,-0.012,29.5,0.500,-7.43,3.56
264.567,0.41,-0.32,-0.25,-110.7,0.000,-17.6,12.5,0.015,0.609,-0.044,-0.002,-0.052,0.261,0.679,0.470,113.7,1.84,0.52,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,113.2,0.158,0.001,-0.013,26.7,0.470,-5.43,3.21
264.767,0.12,-0.10,-0.07,-109.3,0.000,-14.0,4.1,0.002,0.338,-0.025,-0.008,-0.003,0.314,0.679,0.442,114.0,1.31,0.44,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,113.6,0.316,0.001,-0.012,9.3,0.442,-2.27,1.37
