# mouseaim recording  v0.52.0  session=20260710-230157
# started 2026-07-10 23:04:44  t=134.121
# aircraft 'Multirole1'
# config law=EvolvedLegacy sens=3.0 chaseDamp=0.25 pitchG=1.0 yawG=1.0 rollG=1.00 rollDamp=0.10 rollSm=0.06 bankGain=3.0 bankDz=2.5 maxBank=72 fineAng=6 fineBoost=2.5 align=25 coord=0.90 brake=0.35 yawSc=0.35 slew=6.0 iGain=0.80 iLeak=0.50 iCap=0.12 yawAssist=1 yaStr=0.70 yaResp=0.80 coordPull=0.40 coordCap=0.85 bankAuth=5.0 yawFade=1.00 trGain=0.92 pullRel=2.0 alignHold=5.0 leadT=0.65 aOffP=0.50 heliFwd=150 heliHover=40 heliYawSc=2.00
t,off,azErr,elevErr,phi,bigTurn,bank,targetBank,outP,outR,outY,pitchRate,yawRate,rollRate,yawEff,yawWeak,spd,aoa,g,phase,flyLevel,engP,engR,engY,controlLaw,heliBlend,vFwd,rollRateF,iPitch,iYaw,bankTR,bankBlend,headingRateFilt,azErrPred
134.133,0.14,0.14,-0.01,91.2,0.000,1.8,0.0,0.000,-0.001,0.023,0.000,0.002,-0.001,0.304,0.094,480.3,0.57,0.54,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,480.3,0.001,0.000,-0.001,0.0,0.094,0.00,0.14
134.200,0.14,0.14,-0.01,91.6,0.000,1.7,0.0,0.000,-0.001,0.022,0.000,0.001,-0.010,0.304,0.092,480.6,0.57,0.54,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,480.6,-0.004,0.000,0.000,0.0,0.092,0.00,0.14
134.267,0.13,0.13,-0.01,91.7,0.000,1.7,0.0,0.000,-0.001,0.021,0.000,0.001,-0.011,0.304,0.090,481.0,0.57,0.54,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,481.0,-0.009,0.000,0.000,0.0,0.090,0.00,0.13
134.317,0.13,0.13,-0.01,91.8,0.000,1.7,0.0,0.000,-0.001,0.021,0.000,0.001,-0.008,0.304,0.089,481.3,0.57,0.54,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,481.2,-0.009,0.000,0.000,0.0,0.089,0.00,0.13
134.383,0.12,0.12,-0.01,92.1,0.000,1.6,0.0,0.001,-0.002,0.021,0.000,0.001,-0.005,0.304,0.087,481.6,0.57,0.53,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,481.6,-0.007,0.000,0.000,0.0,0.087,0.00,0.12
134.450,0.12,0.12,-0.01,92.4,0.000,1.6,0.0,0.001,-0.002,0.021,0.000,0.000,-0.009,0.304,0.085,481.9,0.57,0.54,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,481.9,-0.007,0.000,0.000,0.0,0.085,0.00,0.12
134.517,0.12,0.12,-0.01,92.4,0.000,1.6,0.0,0.001,-0.001,0.021,0.000,0.000,-0.010,0.304,0.083,482.3,0.56,0.53,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,482.3,-0.009,0.000,0.000,0.0,0.083,0.00,0.12
134.567,0.12,0.12,-0.01,92.2,0.000,1.6,0.0,0.001,-0.001,0.021,0.000,0.000,-0.006,0.304,0.082,482.6,0.56,0.53,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,482.5,-0.008,0.000,0.000,0.0,0.082,0.00,0.12
134.633,0.12,0.12,-0.01,92.2,0.000,1.5,0.0,0.001,-0.001,0.021,0.000,0.000,0.001,0.304,0.080,482.9,0.56,0.53,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,482.9,-0.004,0.000,0.000,0.0,0.080,0.00,0.12
134.700,0.12,0.12,-0.01,92.5,0.000,1.5,0.0,0.001,-0.001,0.021,0.000,0.000,-0.001,0.304,0.079,483.3,0.56,0.53,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,483.2,-0.002,0.000,0.000,0.0,0.079,0.00,0.12
134.767,0.58,-0.57,-0.09,-100.1,0.000,1.5,-0.3,0.018,-0.153,-0.092,0.002,0.000,-0.050,0.304,0.077,483.6,0.56,0.54,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,483.6,-0.013,0.000,0.000,-3.3,0.077,0.00,-0.57
134.817,1.56,-1.54,-0.31,-102.5,0.000,0.9,-3.6,0.040,-0.453,-0.209,0.004,-0.016,-0.267,0.289,0.095,483.8,0.57,0.52,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,483.8,-0.112,0.000,0.000,-37.5,0.095,-0.10,-1.47
134.883,1.94,-1.89,-0.46,-102.6,0.000,-1.2,-6.1,0.032,-0.747,-0.224,-0.003,-0.052,-0.754,0.274,0.167,484.1,0.57,0.66,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,484.1,-0.409,0.000,-0.002,-36.5,0.167,-0.70,-1.44
134.950,1.67,-1.61,-0.44,-99.6,0.000,-5.7,0.0,0.040,-0.360,-0.184,-0.001,-0.086,-1.432,0.284,0.233,484.3,0.59,0.72,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,484.2,-0.925,0.000,-0.003,0.0,0.233,-1.75,-0.48
135.017,1.30,-1.26,-0.36,-93.9,0.000,-11.9,0.0,0.010,0.028,-0.145,-0.007,-0.101,-1.658,0.320,0.244,484.5,0.62,0.64,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,484.4,-1.362,0.001,-0.004,0.0,0.244,-2.81,0.00
135.067,1.01,-0.97,-0.28,-89.4,0.000,-16.5,0.0,0.000,0.184,-0.114,0.002,-0.101,-1.566,0.361,0.241,484.7,0.67,0.50,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,484.6,-1.489,0.001,-0.004,0.0,0.241,-3.46,0.00
135.133,0.66,-0.64,-0.17,-83.5,0.000,-21.6,0.0,-0.012,0.340,-0.076,0.001,-0.084,-1.163,0.394,0.236,485.0,0.74,0.55,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,484.9,-1.372,0.000,-0.005,0.0,0.236,-3.90,0.00
135.200,0.43,-0.42,-0.06,-73.2,0.000,-24.6,0.0,-0.026,0.408,-0.052,-0.009,-0.049,-0.532,0.394,0.231,485.3,0.74,0.58,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,485.2,-0.968,0.000,-0.005,0.0,0.231,-3.66,0.00
135.267,0.36,-0.37,0.01,-64.0,0.000,-25.0,0.0,-0.033,0.379,-0.052,-0.009,-0.004,0.147,0.394,0.226,485.6,0.67,0.71,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,485.4,-0.396,0.000,-0.005,0.0,0.226,-2.76,0.00
135.317,0.43,-0.43,0.02,-63.9,0.000,-23.7,0.0,-0.041,0.301,-0.069,-0.014,0.029,0.591,0.394,0.223,485.8,0.59,0.58,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,485.6,0.056,0.000,-0.005,0.0,0.223,-1.97,0.00
135.383,0.63,-0.63,-0.03,-72.2,0.000,-20.4,0.0,-0.032,0.148,-0.107,0.001,0.065,0.929,0.394,0.218,486.0,0.48,0.44,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,485.9,0.564,0.000,-0.005,0.0,0.218,-0.53,-0.28
135.450,0.90,-0.89,-0.15,-82.6,0.000,-16.9,-3.7,-0.020,-0.244,-0.151,0.012,0.081,0.869,0.421,0.214,486.3,0.46,0.62,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,486.3,0.781,0.000,-0.006,-17.3,0.214,0.80,-0.89
135.517,1.20,-1.16,-0.28,-89.2,0.000,-14.4,-5.8,-0.010,-0.466,-0.185,0.015,0.074,0.481,0.428,0.209,486.6,0.50,0.75,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,486.6,0.680,0.000,-0.006,-27.8,0.209,1.76,-1.16
135.567,1.37,-1.32,-0.37,-91.5,0.000,-13.9,-6.8,-0.007,-0.534,-0.200,0.016,0.053,-0.005,0.417,0.206,486.8,0.55,0.87,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,486.8,0.396,0.000,-0.007,-33.2,0.206,2.05,-1.32
135.633,1.48,-1.42,-0.44,-91.6,0.000,-15.5,-7.3,-0.012,-0.504,-0.203,0.009,0.013,-0.658,0.383,0.202,487.0,0.60,0.92,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,487.0,-0.145,0.000,-0.008,-36.1,0.202,1.75,-1.42
135.700,1.42,-1.35,-0.45,-89.0,0.000,-19.4,-6.7,-0.019,-0.363,-0.187,0.009,-0.032,-1.212,0.346,0.198,487.2,0.64,0.91,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,487.2,-0.712,0.000,-0.008,-34.1,0.198,0.99,-1.35
