# mouseaim recording  v0.52.0  session=20260710-230157
# started 2026-07-10 23:10:46  t=492.208
# aircraft 'Trainer'
# config law=EvolvedLegacy sens=3.0 chaseDamp=0.25 pitchG=1.0 yawG=1.0 rollG=1.00 rollDamp=0.10 rollSm=0.06 bankGain=3.0 bankDz=2.5 maxBank=72 fineAng=6 fineBoost=2.5 align=25 coord=0.90 brake=0.35 yawSc=0.35 slew=6.0 iGain=0.80 iLeak=0.50 iCap=0.12 yawAssist=1 yaStr=0.70 yaResp=0.80 coordPull=0.40 coordCap=0.85 bankAuth=5.0 yawFade=1.00 trGain=0.92 pullRel=2.0 alignHold=5.0 leadT=0.65 aOffP=0.50 heliFwd=150 heliHover=40 heliYawSc=2.00
t,off,azErr,elevErr,phi,bigTurn,bank,targetBank,outP,outR,outY,pitchRate,yawRate,rollRate,yawEff,yawWeak,spd,aoa,g,phase,flyLevel,engP,engR,engY,controlLaw,heliBlend,vFwd,rollRateF,iPitch,iYaw,bankTR,bankBlend,headingRateFilt,azErrPred
492.217,0.04,-0.05,0.00,-89.6,0.000,-0.7,0.0,0.000,0.002,-0.007,0.000,-0.001,0.004,0.540,0.300,225.9,0.48,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,225.8,0.002,0.000,0.000,0.0,0.300,0.00,-0.05
492.283,0.04,-0.04,0.00,-89.6,0.000,-0.6,0.0,0.000,0.002,-0.007,0.000,-0.001,0.009,0.540,0.293,226.2,0.48,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,226.2,0.006,0.000,0.000,0.0,0.293,0.00,-0.04
492.333,0.04,-0.04,0.00,-89.5,0.000,-0.6,0.0,0.000,0.001,-0.007,0.000,0.000,0.006,0.540,0.289,226.4,0.47,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,226.4,0.007,0.000,0.000,0.0,0.289,0.00,-0.04
492.400,0.04,-0.04,0.00,-89.3,0.000,-0.6,0.0,0.000,0.002,-0.006,0.000,-0.001,-0.001,0.540,0.283,226.7,0.47,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,226.7,0.003,0.000,0.000,0.0,0.283,0.00,-0.04
492.467,0.03,-0.04,0.00,-89.5,0.000,-0.6,0.0,0.000,0.002,-0.006,0.000,0.000,0.006,0.540,0.277,227.0,0.47,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,227.0,0.003,0.000,0.000,0.0,0.277,0.00,-0.04
492.533,0.19,0.19,0.00,90.5,0.000,-0.6,0.0,0.000,0.048,0.028,0.000,0.000,0.008,0.540,0.271,227.3,0.47,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,227.3,0.007,0.000,0.000,0.0,0.271,0.00,0.19
492.583,1.21,1.21,-0.09,94.3,0.000,-0.3,3.9,0.004,0.329,0.150,0.002,0.017,0.173,0.527,0.267,227.5,0.47,0.45,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,227.5,0.055,0.000,0.000,14.7,0.267,0.00,1.21
492.650,1.15,1.15,-0.10,92.7,0.000,2.1,0.0,0.011,0.201,0.127,0.003,0.090,0.936,0.513,0.262,227.8,0.49,0.31,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,227.7,0.451,0.000,0.001,0.0,0.262,1.04,0.47
492.717,0.76,0.76,-0.05,87.5,0.000,6.2,0.0,-0.010,-0.027,0.080,-0.007,0.103,1.003,0.549,0.256,228.0,0.48,0.41,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,228.0,0.832,0.000,0.002,0.0,0.256,2.47,0.00
492.783,0.43,0.43,0.02,79.2,0.000,8.6,0.0,-0.016,-0.126,0.045,-0.002,0.072,0.316,0.549,0.251,228.3,0.48,0.60,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,228.2,0.661,0.000,0.002,0.0,0.251,3.15,0.00
492.833,0.29,0.29,0.03,76.5,0.000,8.3,0.0,-0.008,-0.112,0.033,0.007,0.042,-0.266,0.549,0.247,228.5,0.49,0.60,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,228.4,0.250,0.000,0.002,0.0,0.247,3.06,0.00
492.900,0.21,0.21,0.01,80.2,0.000,6.9,0.0,-0.003,-0.062,0.030,0.006,0.014,-0.451,0.549,0.242,228.7,0.48,0.52,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,228.7,-0.141,0.000,0.002,0.0,0.242,2.38,0.00
492.967,0.18,0.18,0.00,83.4,0.000,5.4,0.0,-0.003,-0.028,0.028,0.002,0.006,-0.319,0.549,0.237,229.0,0.46,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,229.0,-0.284,0.000,0.003,0.0,0.237,1.67,0.00
493.033,0.17,0.17,0.00,85.3,0.000,4.6,0.0,-0.002,-0.022,0.027,0.001,0.003,-0.166,0.549,0.232,229.3,0.45,0.48,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,229.3,-0.235,0.000,0.003,0.0,0.232,1.17,0.00
493.083,0.16,0.16,0.00,86.7,0.000,4.2,0.0,-0.001,-0.022,0.026,0.001,0.002,-0.115,0.549,0.229,229.5,0.45,0.49,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,229.5,-0.179,0.000,0.003,0.0,0.229,0.90,0.00
493.150,0.16,0.16,-0.01,88.7,0.000,3.8,0.0,0.000,-0.021,0.026,0.001,0.000,-0.091,0.549,0.224,229.8,0.45,0.49,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,229.8,-0.128,0.000,0.003,0.0,0.224,0.63,0.00
493.217,0.16,0.16,-0.01,90.2,0.000,3.5,0.0,0.000,-0.018,0.027,0.001,-0.001,-0.074,0.549,0.219,230.1,0.45,0.48,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,230.1,-0.097,0.000,0.003,0.0,0.219,0.44,0.00
493.283,0.16,0.16,-0.01,90.8,0.000,3.3,0.0,0.000,-0.015,0.028,0.000,-0.001,-0.052,0.549,0.215,230.4,0.45,0.48,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,230.4,-0.073,0.000,0.003,0.0,0.215,0.31,0.00
493.333,0.16,0.16,-0.01,90.9,0.000,3.2,0.0,0.000,-0.015,0.028,0.000,0.000,-0.037,0.549,0.211,230.6,0.45,0.48,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,230.6,-0.056,0.000,0.003,0.0,0.211,0.24,0.01
493.400,0.16,0.16,-0.01,90.6,0.000,3.1,0.0,0.000,-0.015,0.028,0.000,0.001,-0.028,0.549,0.207,230.9,0.45,0.48,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,230.9,-0.039,0.000,0.003,0.0,0.207,0.17,0.05
493.467,0.16,0.16,-0.01,90.3,0.000,2.9,0.0,0.000,-0.014,0.027,0.000,0.001,-0.033,0.549,0.203,231.2,0.45,0.48,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,231.2,-0.034,0.000,0.003,0.0,0.203,0.12,0.08
493.533,0.16,0.15,-0.01,90.3,0.000,2.8,0.0,0.000,-0.013,0.027,0.000,0.001,-0.036,0.549,0.199,231.5,0.45,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,231.5,-0.035,0.000,0.003,0.0,0.199,0.08,0.10
493.583,0.15,0.15,-0.01,90.3,0.000,2.7,0.0,0.000,-0.012,0.026,0.000,0.002,-0.030,0.549,0.196,231.7,0.45,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,231.7,-0.033,0.000,0.003,0.0,0.196,0.06,0.11
493.650,0.14,0.14,-0.01,90.1,0.000,2.6,0.0,0.000,-0.013,0.025,0.000,0.002,-0.025,0.549,0.192,232.0,0.44,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,232.0,-0.028,0.000,0.003,0.0,0.192,0.04,0.11
493.717,0.14,0.14,-0.01,90.1,0.000,2.5,0.0,0.000,-0.012,0.024,0.000,0.002,-0.031,0.549,0.188,232.3,0.44,0.47,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,232.3,-0.029,0.000,0.003,0.0,0.188,0.03,0.12
493.783,0.30,-0.29,0.10,-74.1,0.000,2.4,0.0,-0.015,-0.083,-0.042,0.000,0.001,-0.031,0.549,0.184,232.6,0.44,0.46,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,232.6,-0.031,0.000,0.003,0.0,0.184,0.02,-0.29
493.833,4.99,-4.92,0.86,-82.1,0.000,2.1,-24.3,-0.103,-0.383,-0.305,0.000,-0.020,-0.198,0.518,0.216,232.8,0.44,0.44,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,232.8,-0.075,0.000,0.002,-58.9,0.216,-0.08,-4.86
493.900,5.86,-5.83,0.71,-82.4,0.000,-0.5,-32.5,-0.093,-0.783,-0.223,0.031,-0.133,-1.015,0.498,0.278,233.0,0.50,0.34,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,233.0,-0.494,0.000,0.002,-58.4,0.278,-1.63,-4.77
493.967,5.19,-5.16,0.61,-76.4,0.000,-6.8,-25.9,-0.116,-0.723,-0.218,0.045,-0.203,-1.985,0.538,0.335,233.0,0.63,0.29,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,233.0,-1.250,0.000,0.001,-35.2,0.335,-4.32,-2.36
494.033,4.33,-4.29,0.61,-66.0,0.000,-15.9,-10.7,-0.129,-0.393,-0.198,0.052,-0.229,-2.526,0.601,0.388,233.0,0.84,0.65,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,232.9,-1.977,-0.001,0.000,0.0,0.388,-6.93,0.00
494.083,3.71,-3.64,0.71,-55.8,0.000,-23.0,-8.1,-0.192,-0.123,-0.166,0.041,-0.220,-2.403,0.657,0.424,233.0,1.01,1.05,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,232.9,-2.230,-0.001,0.000,0.0,0.424,-8.33,0.00
494.150,3.05,-2.92,0.92,-41.6,0.000,-30.8,-5.1,-0.244,0.152,-0.120,0.044,-0.175,-1.763,0.738,0.448,233.1,1.18,1.74,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,232.9,-2.075,-0.002,-0.001,0.0,0.448,-9.08,0.00
494.217,2.58,-2.37,1.04,-30.8,0.000,-35.4,-2.8,-0.251,0.290,-0.090,0.060,-0.111,-0.812,0.791,0.447,233.3,1.27,2.24,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,233.1,-1.475,-0.003,-0.002,0.0,0.447,-8.81,0.00
494.283,2.23,-2.00,0.98,-28.0,0.000,-35.8,-1.2,-0.227,0.283,-0.089,0.073,-0.043,0.307,0.791,0.443,233.5,1.23,2.36,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,233.2,-0.568,-0.004,-0.003,0.0,0.443,-7.79,0.00
494.333,2.02,-1.84,0.84,-31.8,0.000,-33.7,-0.5,-0.204,0.207,-0.104,0.070,-0.007,0.900,0.791,0.441,233.5,1.13,2.15,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,233.3,0.129,-0.005,-0.003,0.0,0.441,-6.67,0.00
494.400,1.82,-1.72,0.62,-40.2,0.000,-30.1,0.0,-0.167,0.112,-0.121,0.066,0.004,0.895,0.697,0.439,233.7,0.99,1.73,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,233.5,0.634,-0.006,-0.004,0.0,0.439,-5.21,0.00
494.467,1.64,-1.59,0.40,-48.5,0.000,-27.3,0.0,-0.131,0.073,-0.128,0.062,-0.006,0.620,0.614,0.441,233.9,0.93,1.48,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,233.7,0.677,-0.006,-0.004,0.0,0.441,-4.19,0.00
494.533,1.48,-1.46,0.23,-55.5,0.000,-25.4,0.0,-0.103,0.069,-0.129,0.052,-0.015,0.425,0.550,0.439,234.1,0.89,1.36,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,233.9,0.550,-0.007,-0.005,0.0,0.439,-3.47,0.00
494.583,1.36,-1.36,0.13,-60.1,0.000,-24.3,0.0,-0.086,0.072,-0.128,0.043,-0.018,0.373,0.511,0.432,234.3,0.85,1.30,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,234.1,0.463,-0.007,-0.006,0.0,0.432,-3.11,0.00
494.650,1.23,-1.24,0.03,-65.4,0.000,-23.0,0.0,-0.068,0.074,-0.125,0.033,-0.020,0.364,0.467,0.423,234.5,0.79,1.21,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,234.3,0.401,-0.007,-0.006,0.0,0.423,-2.71,0.00
494.717,1.12,-1.13,-0.04,-70.2,0.000,-21.6,0.0,-0.053,0.072,-0.121,0.025,-0.020,0.361,0.429,0.414,234.7,0.71,1.08,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,234.6,0.377,-0.007,-0.007,0.0,0.414,-2.36,0.00
494.783,1.03,-1.03,-0.09,-74.5,0.000,-20.2,0.0,-0.040,0.068,-0.117,0.020,-0.019,0.348,0.396,0.406,235.0,0.65,0.97,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,234.8,0.362,-0.007,-0.007,0.0,0.406,-2.01,0.00
494.833,0.97,-0.96,-0.12,-77.6,0.000,-19.3,0.0,-0.031,0.066,-0.113,0.017,-0.018,0.333,0.374,0.399,235.1,0.60,0.90,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,235.0,0.349,-0.007,-0.008,0.0,0.399,-1.86,0.00
494.900,0.89,-0.88,-0.15,-81.4,0.000,-18.0,0.0,-0.021,0.063,-0.109,0.013,-0.017,0.313,0.347,0.391,235.3,0.55,0.82,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,235.2,0.330,-0.007,-0.008,0.0,0.391,-1.66,0.00
494.967,0.83,-0.81,-0.17,-84.9,0.000,-16.9,0.0,-0.013,0.060,-0.104,0.010,-0.015,0.293,0.323,0.383,235.6,0.51,0.76,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,235.4,0.311,-0.007,-0.009,0.0,0.383,-1.24,0.00
495.033,0.77,-0.75,-0.18,-87.9,0.000,-15.8,0.0,-0.007,0.057,-0.100,0.007,-0.014,0.272,0.300,0.375,235.8,0.47,0.72,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,235.7,0.290,-0.007,-0.009,0.0,0.375,-1.14,-0.01
