# mouseaim recording  v0.53.0  session=20260710-232812
# started 2026-07-10 23:32:58  t=251.062
# aircraft 'Multirole1'
# config law=EvolvedLegacy sens=3.0 chaseDamp=0.25 pitchG=1.0 yawG=1.0 rollG=1.00 rollDamp=0.10 rollSm=0.06 bankGain=3.0 bankDz=2.5 maxBank=72 fineAng=6 fineBoost=2.5 align=25 coord=0.90 brake=0.35 yawSc=0.35 slew=6.0 iGain=0.80 iLeak=0.50 iCap=0.12 yawAssist=1 yaStr=0.70 yaResp=0.80 coordPull=0.40 coordCap=0.85 bankAuth=5.0 yawFade=1.00 trGain=0.92 pullRel=2.0 alignHold=5.0 leadT=0.65 aOffP=0.50 heliFwd=150 heliHover=40 heliYawSc=2.00
t,off,azErr,elevErr,phi,bigTurn,bank,targetBank,outP,outR,outY,pitchRate,yawRate,rollRate,yawEff,yawWeak,spd,aoa,g,phase,flyLevel,engP,engR,engY,controlLaw,heliBlend,vFwd,rollRateF,iPitch,iYaw,bankTR,bankBlend,headingRateFilt,azErrPred
251.067,0.36,-0.35,-0.06,-90.5,0.000,-9.6,0.0,0.005,0.103,-0.062,0.012,0.017,0.554,0.068,0.492,433.6,0.26,0.24,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,433.6,0.632,-0.003,-0.016,0.0,0.492,0.27,-0.35
251.117,0.40,-0.38,-0.10,-96.3,0.000,-8.1,0.0,0.011,0.085,-0.064,0.011,0.010,0.482,0.068,0.484,433.7,0.29,0.26,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,433.7,0.564,-0.003,-0.016,0.0,0.484,0.20,-0.38
251.167,0.41,-0.39,-0.13,-101.6,0.000,-6.8,0.0,0.018,0.070,-0.063,0.010,0.001,0.419,0.068,0.477,433.8,0.31,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,433.7,0.497,-0.003,-0.016,0.0,0.477,0.16,-0.39
251.233,0.40,-0.37,-0.15,-107.2,0.000,-5.4,0.0,0.021,0.053,-0.058,0.005,-0.010,0.343,0.068,0.467,433.8,0.32,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,433.8,0.415,-0.002,-0.016,0.0,0.467,0.11,-0.37
251.300,0.35,-0.31,-0.16,-113.2,0.000,-4.3,0.0,0.024,0.041,-0.050,0.003,-0.017,0.276,0.068,0.457,433.9,0.32,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,433.9,0.340,-0.002,-0.015,0.0,0.457,-0.01,-0.30
251.367,0.29,-0.24,-0.17,-121.6,0.000,-3.4,0.0,0.026,0.031,-0.040,0.002,-0.019,0.219,0.068,0.448,434.0,0.31,0.25,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,434.0,0.275,-0.002,-0.015,0.0,0.448,-0.29,-0.05
251.417,0.25,-0.19,-0.17,-129.3,0.000,-2.8,0.0,0.028,0.026,-0.035,0.002,-0.017,0.182,0.068,0.441,434.1,0.31,0.23,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,434.1,0.232,-0.002,-0.015,0.0,0.441,-0.50,0.00
251.483,0.49,-0.49,-0.01,-88.5,0.000,-2.2,0.0,-0.003,0.021,-0.070,0.002,-0.012,0.141,0.068,0.432,434.2,0.30,0.21,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,434.2,0.183,-0.002,-0.015,0.0,0.432,-0.35,-0.26
251.550,5.40,-5.37,0.62,-81.4,0.000,-1.9,-49.5,-0.172,-0.374,-0.247,0.011,-0.015,-0.001,0.068,0.464,434.3,0.32,0.25,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,434.3,0.115,-0.002,-0.015,-73.3,0.464,-0.24,-5.21
251.617,14.22,-14.16,1.47,-80.7,0.433,-3.1,-72.0,-0.142,-0.774,-0.421,0.042,-0.046,-0.521,0.073,0.506,434.3,0.44,0.66,TURN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,434.3,-0.183,-0.002,-0.015,-83.9,0.287,-0.75,-13.67
251.667,19.93,-19.80,2.46,-77.1,0.733,-5.4,-72.0,-0.138,-0.806,-0.463,0.043,-0.081,-0.915,0.081,0.536,434.2,0.56,0.82,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,434.2,-0.505,-0.002,-0.014,-85.6,0.143,-1.54,-18.80
251.733,25.04,-24.86,3.39,-71.3,1.000,-10.2,-67.1,-0.148,-0.691,-0.405,0.050,-0.120,-1.481,0.101,0.573,433.9,0.72,1.15,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,433.8,-1.013,-0.002,-0.014,-86.4,0.000,-3.03,-22.89
251.800,26.12,-25.95,3.45,-65.1,1.000,-16.6,-70.4,-0.253,-0.581,-0.400,0.061,-0.132,-1.729,0.127,0.606,433.5,0.94,1.36,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,433.4,-1.423,-0.002,-0.013,-86.4,0.000,-4.51,-23.02
251.867,25.62,-25.45,3.39,-58.0,1.000,-23.7,-68.8,-0.382,-0.475,-0.368,0.065,-0.120,-1.910,0.152,0.638,433.1,1.17,2.10,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,432.9,-1.699,-0.002,-0.013,-86.2,0.000,-5.56,-21.83
251.917,25.26,-25.10,3.32,-52.8,1.000,-28.9,-67.8,-0.481,-0.412,-0.346,0.072,-0.094,-1.745,0.164,0.659,432.8,1.32,2.64,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,432.6,-1.753,-0.002,-0.012,-86.1,0.000,-5.90,-21.26
251.983,24.88,-24.73,3.21,-46.8,0.994,-35.0,-67.8,-0.603,-0.355,-0.325,0.079,-0.049,-1.546,0.168,0.686,432.5,1.46,3.61,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,432.2,-1.655,-0.001,-0.012,-86.0,0.004,-5.78,-20.97
252.050,24.61,-24.49,3.02,-41.6,0.980,-40.5,-69.6,-0.709,-0.311,-0.308,0.088,-0.009,-1.389,0.156,0.711,432.3,1.57,4.31,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,432.0,-1.519,-0.001,-0.012,-86.1,0.015,-5.26,-21.07
252.117,24.35,-24.26,2.73,-37.2,0.966,-45.5,-71.5,-0.792,-0.277,-0.289,0.101,0.017,-1.236,0.141,0.734,432.1,1.64,4.82,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,431.8,-1.371,-0.001,-0.011,-86.1,0.025,-4.70,-21.20
252.167,24.13,-24.08,2.47,-34.5,0.954,-48.8,-72.0,-0.840,-0.257,-0.275,0.114,0.028,-1.123,0.136,0.750,432.0,1.69,5.13,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,431.7,-1.258,-0.001,-0.011,-86.1,0.034,-4.45,-21.18
252.233,23.79,-23.77,2.09,-31.3,0.936,-52.7,-72.0,-0.888,-0.236,-0.255,0.130,0.027,-0.990,0.132,0.770,431.8,1.77,5.48,ALIGN,0,0.0,0.0,0.0,EvolvedLegacy,0.000,431.6,-1.115,-0.001,-0.011,-86.0,0.049,-4.47,-20.87
