# mouseaim recording  v0.53.0  session=20260710-232812
# started 2026-07-10 23:36:44  t=476.415
# aircraft 'FastBomber1'
# config law=EvolvedLegacy sens=3.0 chaseDamp=0.25 pitchG=1.0 yawG=1.0 rollG=1.00 rollDamp=0.10 rollSm=0.06 bankGain=3.0 bankDz=2.5 maxBank=72 fineAng=6 fineBoost=2.5 align=25 coord=0.90 brake=0.35 yawSc=0.35 slew=6.0 iGain=0.80 iLeak=0.50 iCap=0.12 yawAssist=1 yaStr=0.70 yaResp=0.80 coordPull=0.40 coordCap=0.85 bankAuth=5.0 yawFade=1.00 trGain=0.92 pullRel=2.0 alignHold=5.0 leadT=0.65 aOffP=0.50 heliFwd=150 heliHover=40 heliYawSc=2.00
t,off,azErr,elevErr,phi,bigTurn,bank,targetBank,outP,outR,outY,pitchRate,yawRate,rollRate,yawEff,yawWeak,spd,aoa,g,phase,flyLevel,engP,engR,engY,controlLaw,heliBlend,vFwd,rollRateF,iPitch,iYaw,bankTR,bankBlend,headingRateFilt,azErrPred
476.417,0.43,-0.42,0.06,-81.8,0.000,-0.7,0.0,-0.010,0.006,-0.085,0.003,0.002,0.041,0.028,0.035,491.4,0.52,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,491.1,0.058,-0.001,-0.013,0.0,0.035,-0.01,-0.42
476.467,0.43,-0.43,0.05,-83.0,0.000,-0.6,0.0,-0.008,0.005,-0.086,0.002,0.003,0.031,0.028,0.034,491.5,0.52,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,491.2,0.045,-0.001,-0.013,0.0,0.034,-0.01,-0.42
476.533,0.44,-0.44,0.04,-84.4,0.000,-0.5,0.0,-0.007,0.005,-0.089,0.002,0.004,0.021,0.028,0.034,491.7,0.52,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,491.4,0.032,-0.001,-0.013,0.0,0.034,-0.01,-0.44
476.600,0.46,-0.46,0.03,-85.5,0.000,-0.4,0.0,-0.006,0.005,-0.091,0.002,0.004,0.013,0.028,0.033,491.9,0.52,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,491.6,0.022,-0.001,-0.013,0.0,0.033,0.00,-0.46
476.667,0.47,-0.48,0.03,-86.4,0.000,-0.4,0.0,-0.005,0.005,-0.094,0.001,0.004,0.010,0.028,0.032,492.1,0.52,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,491.8,0.015,-0.001,-0.013,0.0,0.032,0.00,-0.47
476.717,0.48,-0.49,0.02,-87.0,0.000,-0.3,0.0,-0.005,0.004,-0.096,0.001,0.004,0.009,0.028,0.032,492.2,0.52,0.30,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,491.9,0.012,-0.001,-0.013,0.0,0.032,0.00,-0.48
476.783,0.50,-0.50,0.02,-87.7,0.000,-0.3,0.0,-0.004,0.004,-0.098,0.001,0.003,0.010,0.028,0.031,492.4,0.52,0.28,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,492.1,0.010,-0.001,-0.013,0.0,0.031,0.00,-0.50
476.850,0.51,-0.51,-0.01,-91.0,0.000,-0.3,0.0,0.001,-0.004,-0.099,0.001,0.003,0.008,0.028,0.031,492.6,0.52,0.29,HOLD,0,0.0,0.0,0.0,EvolvedLegacy,0.000,492.3,0.009,-0.001,-0.013,-0.4,0.031,0.00,-0.51
476.917,2.19,-1.66,-1.43,-130.5,0.000,-0.4,-2.1,0.183,-0.385,-0.231,-0.002,0.000,-0.108,0.026,0.050,492.7,0.52,0.31,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,492.4,-0.026,0.000,-0.013,-43.0,0.050,0.00,-1.66
476.967,4.69,-2.61,-3.90,-144.7,0.000,-1.4,-7.5,0.275,-0.685,-0.215,-0.018,-0.003,-0.511,0.025,0.107,492.8,0.50,0.93,FINE,0,0.0,0.0,0.0,EvolvedLegacy,0.000,492.5,-0.212,0.000,-0.013,-59.5,0.107,0.00,-2.61
